"Name","Target","first_year","last_year"
Thomas Harrington Tuke,ESL,1849,1871
x Tumangung of Jehore,ESL,1866,1866
Henry John Turner,ESL,1856,1856
John Turner,ESL,1844,1844
William Wadden Turner,ESL,1852,1852
John Twiner,ESL,1843,1845
William Twining,ESL,1845,1845
John Underwood,ESL,1860,1871
John Ussher,ESL,1866,1868
George Vaughan,ESL,1865,1868
Jonas Daniel Vaughan,ESL,1865,1871
Carl Vogt,ESL,1869,1871
Benjamin Vulliamy,ESL,1844,1844
Thomas Francis Wade,ESL,1864,1871
x Wagstaff,ESL,1853,1856
James Walker,ESL,1845,1854
James Sydney Walker,ESL,1854,1871
Thomas Walker,ESL,1854,1871
Alfred Russel Wallace,ESL,1866,1871
Phillipp Alexander Walther,ESL,1862,1871
Stephen Henry Ward,ESL,1847,1869
Samuel Hibbert Ware,ESL,1844,1844
Edward Warner,ESL,1862,1871
Thomas T P  Bruce Warren,ESL,1867,1871
W Warrington,ESL,1844,1844
George Waterhouse,ESL,1843,1845
Samuel Watson,ESL,1862,1871
John King Watts,ESL,1855,1865
Andrew Scott Waugh,ESL,1862,1871
George Webster,ESL,1844,1844
John Webster,ESL,1861,1862
Hermann Welcker,ESL,1862,1871
Mordaunt Wells,ESL,1864,1867
Reginald Sackville West,ESL,1865,1868
Hodder Michael Westropp,ESL,1869,1871
G F Whidbourne,ESL,1846,1847
James Whishaw,ESL,1844,1871
x White,ESL,1844,1844
James T White,ESL,1862,1862
M White,ESL,1844,1844
x Wienecke,ESL,1862,1871
A L Wigan,ESL,1847,1847
John W Wilkins,ESL,1862,1862
John Gardner Wilkinson,ESL,1853,1871
John (2) Williams,ESL,1855,1855
G Williamson,ESL,1858,1862
David Wilson,ESL,1845,1845
